City,Latitude,Longitude,month,Temperature,Humidity,Rainfall,Wind Speed,Pressure,city_encoded
Pune,14.91241936004888,69.38709379142905,5,46.15306910819168,68.42176002447378,7.24903275044758,20.8437987655049,1016.179847710772,9
Chennai,27.60458082368482,69.10263359888619,9,24.371378177177675,89.69462522272815,38.38839516600321,21.772435923961137,1013.8769446953131,2
Ahmedabad,24.00999844198818,89.64001046697332,2,16.38064382693252,64.32252790457663,28.566378285433956,18.095515025685206,1010.5218198181927,0
Kolkata,10.759741934080388,87.11203049190675,3,30.152763392229527,71.70616175910085,9.49923981291468,9.568517046168402,1010.0371739327767,6
Pune,32.806264101040156,91.26178618570003,7,34.10655311103278,83.97544165131336,94.78620400538045,10.48023560771095,1011.4038483767755,9
Lucknow,29.33228520235034,71.05565848463138,7,29.331640201450416,90.23670754721434,52.51234451756507,11.296823108174706,1012.7656794358002,7
Bangalore,8.621610329266213,69.0315551440309,6,48.497298393072676,82.8156562141091,280.6970930248202,7.3360821546790405,1010.9606551003894,1
Pune,25.586914696682644,82.74879939397978,6,36.95748174612275,88.84977341908983,186.52902103373845,10.463192407398903,1013.1492949539248,9
Ahmedabad,28.823660050032927,79.24026171300032,2,15.50355322211798,64.81318488854416,21.009995142384557,9.190384486250643,1009.6537042551319,0
Kolkata,18.109754982451392,81.39646116345772,10,21.97412394369556,62.81492374631705,27.612575956102418,14.106574996172043,1017.777128128255,6
Chennai,9.860881562914907,96.75606385723795,6,49.755891250753805,80.8265508235992,123.31744560321316,23.168750957445297,1009.07924554965,2
Ahmedabad,10.087668768197256,96.15174877244944,4,42.21973057579651,63.884752534425544,19.780697400728272,7.089606335079162,1017.3194413965438,0
Ahmedabad,10.814668083398857,95.3271463005226,12,17.878809539211314,61.95417170714765,4.0475852776799615,19.40535847894791,1017.1357801140269,0
Bangalore,30.69187006347142,90.73143762626253,3,18.520922492778382,65.37620578821632,8.042858262240491,18.745660088262554,1013.253604818195,1
Hyderabad,32.58852735290425,78.29039944744983,11,5.0,80.78203134362025,25.443636737428445,6.915083973267153,1015.2491027183609,4
Kolkata,11.315891109834812,79.95179697762038,2,23.957464734922755,87.25291342136128,23.702745621135062,23.451448098116,1012.3604829797259,6
Delhi,14.369462934067192,83.93886526784881,1,17.638014400730007,80.74648549844657,12.467352669342965,16.36944404313639,1014.3003457754244,3
Ahmedabad,12.469053779916823,92.08549923574036,11,14.981333668441442,69.07775725572027,13.173886949903737,12.274510422713686,1011.4057593742112,0
Hyderabad,13.030663746341258,69.99267214302976,11,19.144057899595097,55.46792877192071,17.405969705946642,20.13077166990613,1011.0115901978545,4
Delhi,30.612251303067286,80.30460969066175,5,29.287166351354387,65.17139674761478,3.0065071264986325,10.147309168032681,1013.7822978616952,3
Kolkata,16.967953141683353,70.3959122403188,2,25.592064581599786,74.21504976697388,9.513597073026752,18.87019674092641,1012.9812967418399,6
Mumbai,16.408995129232313,82.92507001063183,2,25.491863072258717,75.82125019606646,8.622258832421789,5.794224151444944,1013.7953636914998,8
Lucknow,14.139681763682042,94.06812389618082,7,41.68121893846646,84.45079312092338,97.63039562243614,21.78816075218544,1010.8666058128703,7
Hyderabad,24.413148632444983,90.6920628123542,8,28.916967959343925,82.10887111297838,247.59457748402917,13.96341694042637,1011.6695783181699,4
Jaipur,18.24125385640982,74.6074301087502,10,19.08515421804697,72.75201436966319,10.551194126753964,17.733858287158835,1008.8389796062891,5
Mumbai,28.094740599768798,96.30373463836499,8,25.06922909170609,77.5842691424623,81.71075695354,9.424756396133674,1008.5227637227221,8
Lucknow,13.550654826142212,87.35316154334643,4,38.64455109117061,71.20879305496305,16.61511344141185,18.541474253168957,1010.5345712967302,7
Bangalore,29.270326995291295,68.3024032825247,1,5.0,69.23867477273433,26.37241598206376,20.444805517865532,1008.7424685933055,1
Pune,24.300481356713753,75.40699105587137,11,5.577387853049841,75.45777786006548,9.516442003612497,14.464263737687975,1009.0377470863474,9
Chennai,11.08521710150357,75.56068569767758,7,47.39034104726453,75.69532164007754,51.204785554055654,17.354538481235885,1016.1292840539394,2
Jaipur,19.19162377349795,70.00837488228994,1,14.944908677100493,59.617473357451395,12.622927867940946,14.126518476447972,1008.3887369701669,5
Bangalore,31.31498979654984,95.83496902420194,11,5.0,83.71782092891685,23.186599263254397,22.88182738515691,1014.5894279393474,1
Kolkata,32.91992625855909,81.86940354270179,4,25.250125285440525,59.45359837923155,17.868644706759454,14.957383610286383,1010.725577488154,6
